Shipment_ID,Origin_Name,Origin_Lat,Origin_Lon,Destination_Name,Destination_Lat,Destination_Lon,Transport_Mode,Distance_KM,Base_Cost_USD,Transit_Days,Delay_Days,CO2_Emissions_Tons,Weather_Condition,Geopolitical_Risk,Port_Congestion_Index
GLOBAL-EXP-10032,Ambarli Port (Istanbul),40.9681,28.6946,Hamburg Hub,53.5511,9.9937,Rail Freight,12399.42,35243.63,17.2,0.0,1.57,Clear,Medium,4.0
GLOBAL-EXP-10033,Ambarli Port (Istanbul),40.9681,28.6946,Hamburg Hub,53.5511,9.9937,Air Freight,7250.44,34313.17,3.9,0.0,7.74,Clear,Low,8.7
GLOBAL-EXP-10034,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Air Freight,4032.97,21307.64,3.0,0.0,3.8,Minor Storm,Low,6.6
GLOBAL-EXP-10035,Ambarli Port (Istanbul),40.9681,28.6946,Hamburg Hub,53.5511,9.9937,Sea Freight,13192.2,11831.38,28.5,0.0,0.72,Clear,Low,7.4
GLOBAL-EXP-10036,Singapore Port,1.3521,103.8198,Rotterdam Hub,51.9244,4.4777,Road Freight,3255.3,8245.54,8.6,0.0,0.66,Clear,Low,7.3
GLOBAL-EXP-10037,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Air Freight,5836.6,27086.54,2.1,9.1,6.34,Severe Typhoon,Low,5.7
GLOBAL-EXP-10038,Ambarli Port (Istanbul),40.9681,28.6946,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,5963.7,6257.0,28.8,0.0,0.27,Minor Storm,Low,2.0
GLOBAL-EXP-10039,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,4805.28,5267.64,27.5,13.5,0.26,Clear,Extreme (Chokepoint Blocked),5.2
GLOBAL-EXP-10040,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Air Freight,2724.86,13793.04,2.6,0.0,2.73,Minor Storm,Low,8.7
GLOBAL-EXP-10041,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Road Freight,17108.03,83776.87,18.8,16.8,3.44,Minor Storm,High (Suez Crisis),6.2
GLOBAL-EXP-10042,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Sea Freight,8177.64,16259.81,33.8,10.7,0.38,Clear,High (Suez Crisis),1.9
GLOBAL-EXP-10043,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Rail Freight,12491.56,30760.17,16.7,0.0,1.38,Minor Storm,Low,3.3
GLOBAL-EXP-10044,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Air Freight,16039.55,89863.3,4.6,0.0,15.34,Minor Storm,Low,2.6
GLOBAL-EXP-10045,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Road Freight,4043.04,11421.66,7.7,0.0,0.82,Clear,Medium,6.1
GLOBAL-EXP-10046,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Rail Freight,3649.98,11253.13,10.0,0.0,0.46,Minor Storm,Medium,3.9
GLOBAL-EXP-10047,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,15554.29,22015.32,43.8,14.8,0.81,Clear,High (Suez Crisis),5.4
GLOBAL-EXP-10048,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Sea Freight,12760.3,16928.6,37.8,0.0,0.67,Clear,Low,1.8
GLOBAL-EXP-10049,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Rail Freight,13792.57,36620.63,17.7,9.5,1.78,Heavy Snow,Low,8.5
GLOBAL-EXP-10050,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Air Freight,3164.21,18139.74,2.8,0.0,2.9,Clear,Medium,1.8
GLOBAL-EXP-10051,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Road Freight,5786.96,28749.65,9.2,24.5,1.05,Severe Typhoon,High (Suez Crisis),4.4
GLOBAL-EXP-10052,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Air Freight,9882.0,44637.3,3.2,5.0,9.01,Severe Typhoon,Low,2.1
GLOBAL-EXP-10053,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,8403.57,9533.01,21.7,0.0,0.42,Minor Storm,Low,4.9
GLOBAL-EXP-10054,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Sea Freight,16258.29,19012.29,45.2,8.4,0.74,Heavy Snow,Low,9.7
GLOBAL-EXP-10055,Shenzhen Port,22.5431,114.0579,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,17933.3,23095.36,38.2,0.0,0.94,Clear,Low,9.2
GLOBAL-EXP-10056,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Road Freight,11922.12,34104.37,12.7,6.8,2.22,Severe Typhoon,Low,6.3
GLOBAL-EXP-10057,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Sea Freight,2517.06,2506.57,19.3,0.0,0.13,Clear,Low,3.4
GLOBAL-EXP-10058,Shanghai Port,31.2304,121.4737,Hamburg Hub,53.5511,9.9937,Rail Freight,13611.51,50277.29,16.2,18.7,1.74,Minor Storm,High (Suez Crisis),1.4
GLOBAL-EXP-10059,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Sea Freight,17764.58,18896.49,43.4,0.0,0.87,Minor Storm,Low,8.5
GLOBAL-EXP-10060,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Sea Freight,6374.51,5351.17,30.9,0.0,0.34,Clear,Low,10.0
GLOBAL-EXP-10061,Shenzhen Port,22.5431,114.0579,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,14113.3,15023.54,31.3,0.0,0.66,Clear,Medium,3.3
GLOBAL-EXP-10062,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Road Freight,11890.05,35261.27,12.4,0.0,2.32,Clear,Low,5.7
GLOBAL-EXP-10063,Shenzhen Port,22.5431,114.0579,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,17487.58,36830.42,20.6,0.0,2.06,Clear,Medium,5.3
GLOBAL-EXP-10064,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,5407.43,4842.13,17.0,0.0,0.26,Minor Storm,Medium,6.3
GLOBAL-EXP-10065,Shenzhen Port,22.5431,114.0579,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,10759.14,27339.97,16.7,0.0,1.17,Clear,Medium,5.7
GLOBAL-EXP-10066,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Sea Freight,9873.86,13073.4,29.2,14.9,0.54,Clear,High (Suez Crisis),4.0
GLOBAL-EXP-10067,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Road Freight,9361.91,30521.65,11.4,0.0,1.84,Clear,Low,2.6
GLOBAL-EXP-10068,Ambarli Port (Istanbul),40.9681,28.6946,Port of Los Angeles,33.7423,-118.2705,Sea Freight,12680.92,11674.36,28.7,5.4,0.58,Severe Typhoon,Low,3.5
GLOBAL-EXP-10069,Shanghai Port,31.2304,121.4737,Hamburg Hub,53.5511,9.9937,Sea Freight,7695.86,10973.93,21.6,0.0,0.37,Clear,Low,3.9
GLOBAL-EXP-10070,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Rail Freight,15977.26,49610.14,16.0,0.0,1.73,Minor Storm,Low,8.3
GLOBAL-EXP-10071,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,16784.67,16201.93,42.4,9.8,0.84,Heavy Snow,Low,1.6
GLOBAL-EXP-10072,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Rail Freight,10186.84,36285.76,12.3,15.3,1.16,Minor Storm,High (Suez Crisis),3.2
GLOBAL-EXP-10073,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,15451.36,13325.92,37.3,0.0,0.73,Clear,Low,4.1
GLOBAL-EXP-10074,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Air Freight,3390.72,17990.03,2.6,0.0,3.56,Minor Storm,Low,4.9
GLOBAL-EXP-10075,Singapore Port,1.3521,103.8198,Hamburg Hub,53.5511,9.9937,Sea Freight,11720.88,15365.07,32.1,19.3,0.57,Clear,High (Suez Crisis),1.1
GLOBAL-EXP-10076,Shanghai Port,31.2304,121.4737,Hamburg Hub,53.5511,9.9937,Air Freight,4985.07,24564.66,2.0,0.0,5.38,Clear,Low,1.7
GLOBAL-EXP-10077,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Road Freight,16345.76,71690.51,19.3,19.8,2.7,Minor Storm,Extreme (Chokepoint Blocked),5.4
GLOBAL-EXP-10078,Shenzhen Port,22.5431,114.0579,Frankfurt Logistics Hub,50.1109,8.6821,Air Freight,11145.8,54837.0,3.9,6.6,10.45,Severe Typhoon,Low,4.8
GLOBAL-EXP-10079,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Sea Freight,14284.47,12300.4,35.4,0.0,0.78,Clear,Medium,3.9
GLOBAL-EXP-10080,Singapore Port,1.3521,103.8198,Rotterdam Hub,51.9244,4.4777,Air Freight,3014.0,18038.61,2.0,0.0,3.2,Clear,Low,3.3
GLOBAL-EXP-10081,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Sea Freight,11697.63,15862.02,26.2,0.0,0.63,Clear,Low,7.7
GLOBAL-EXP-10082,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Sea Freight,4899.73,5599.6,27.2,18.4,0.25,Minor Storm,High (Suez Crisis),2.3
GLOBAL-EXP-10083,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Air Freight,4982.48,24182.65,2.9,0.0,5.39,Minor Storm,Medium,3.8
GLOBAL-EXP-10084,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Air Freight,8031.11,41713.75,2.6,0.0,8.43,Minor Storm,Low,5.5
GLOBAL-EXP-10085,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Sea Freight,3065.91,2944.24,22.0,0.0,0.15,Clear,Low,4.0
GLOBAL-EXP-10086,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Air Freight,11921.16,63184.45,4.3,0.0,12.61,Clear,Medium,2.4
GLOBAL-EXP-10087,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Sea Freight,5272.71,6853.71,24.0,0.0,0.28,Minor Storm,Low,1.9
GLOBAL-EXP-10088,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,8356.6,24708.4,11.3,0.0,0.89,Minor Storm,Low,7.5
GLOBAL-EXP-10089,Shenzhen Port,22.5431,114.0579,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,13458.87,36592.44,18.1,0.0,1.73,Clear,Low,4.1
GLOBAL-EXP-10090,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Rail Freight,4453.62,16254.35,10.5,10.2,0.53,Clear,High (Suez Crisis),8.8
GLOBAL-EXP-10091,Ambarli Port (Istanbul),40.9681,28.6946,Port of Los Angeles,33.7423,-118.2705,Road Freight,2368.36,7926.38,7.1,4.6,0.43,Severe Typhoon,Medium,1.7
GLOBAL-EXP-10092,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Sea Freight,3811.81,5677.27,27.3,11.4,0.18,Severe Typhoon,Low,8.8
GLOBAL-EXP-10093,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Road Freight,13907.99,38486.95,16.7,0.0,2.67,Minor Storm,Low,2.0
GLOBAL-EXP-10094,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Air Freight,7551.25,42334.22,2.8,7.6,7.14,Severe Typhoon,Low,2.3
GLOBAL-EXP-10095,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Rail Freight,6983.57,20507.92,11.0,0.0,0.74,Clear,Low,2.9
GLOBAL-EXP-10096,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,8633.99,7423.02,35.7,8.8,0.43,Heavy Snow,Low,1.6
GLOBAL-EXP-10097,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,9491.71,26101.93,13.2,0.0,1.19,Minor Storm,Low,6.3
GLOBAL-EXP-10098,Shanghai Port,31.2304,121.4737,Hamburg Hub,53.5511,9.9937,Rail Freight,9052.2,22457.75,13.8,0.0,0.95,Clear,Low,2.6
GLOBAL-EXP-10099,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,16358.89,43054.86,19.9,0.0,2.12,Minor Storm,Low,8.6
GLOBAL-EXP-10100,Singapore Port,1.3521,103.8198,Rotterdam Hub,51.9244,4.4777,Road Freight,5697.2,19219.27,6.8,0.0,0.97,Clear,Low,8.2
GLOBAL-EXP-10101,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,14885.04,22210.12,37.7,0.0,0.79,Clear,Medium,9.7
GLOBAL-EXP-10102,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Air Freight,16341.37,73854.88,3.2,0.0,15.39,Clear,Low,1.2
GLOBAL-EXP-10103,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Road Freight,16569.98,54882.93,17.2,0.0,3.35,Minor Storm,Medium,4.3
GLOBAL-EXP-10104,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Road Freight,10832.75,33223.67,12.2,0.0,2.25,Minor Storm,Low,7.9
GLOBAL-EXP-10105,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Air Freight,9537.05,61454.51,3.2,17.4,9.56,Clear,Extreme (Chokepoint Blocked),7.3
GLOBAL-EXP-10106,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,17750.43,20732.21,34.8,0.0,0.85,Clear,Medium,1.2
GLOBAL-EXP-10107,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Sea Freight,3074.81,3332.09,21.3,0.0,0.16,Minor Storm,Low,2.0
GLOBAL-EXP-10108,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Rail Freight,11558.61,31446.59,16.0,11.3,1.22,Severe Typhoon,Medium,4.8
GLOBAL-EXP-10109,Ambarli Port (Istanbul),40.9681,28.6946,Hamburg Hub,53.5511,9.9937,Air Freight,17338.03,82816.1,3.3,0.0,18.28,Clear,Low,1.6
GLOBAL-EXP-10110,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Rail Freight,6753.95,18098.46,11.9,0.0,0.81,Clear,Medium,9.4
GLOBAL-EXP-10111,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Sea Freight,4592.22,6378.92,28.4,0.0,0.25,Clear,Low,2.4
GLOBAL-EXP-10112,Shanghai Port,31.2304,121.4737,Hamburg Hub,53.5511,9.9937,Air Freight,13651.02,71575.53,4.1,0.0,13.47,Clear,Low,3.2
GLOBAL-EXP-10113,Singapore Port,1.3521,103.8198,Hamburg Hub,53.5511,9.9937,Sea Freight,2084.06,2453.82,17.3,19.6,0.11,Clear,High (Suez Crisis),8.1
GLOBAL-EXP-10114,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,15967.13,20957.78,42.1,0.0,0.82,Clear,Low,7.2
GLOBAL-EXP-10115,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Sea Freight,13090.8,10945.44,36.4,8.7,0.59,Severe Typhoon,Low,10.0
GLOBAL-EXP-10116,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Air Freight,13158.72,65083.36,4.5,11.6,14.4,Severe Typhoon,Low,5.3
GLOBAL-EXP-10117,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Rail Freight,12312.75,34231.91,15.0,0.0,1.44,Clear,Low,5.3
GLOBAL-EXP-10118,Singapore Port,1.3521,103.8198,Rotterdam Hub,51.9244,4.4777,Rail Freight,3045.7,7243.74,9.7,0.0,0.38,Clear,Medium,3.9
GLOBAL-EXP-10119,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Road Freight,8680.1,26912.86,13.2,0.0,1.43,Clear,Medium,2.7
GLOBAL-EXP-10120,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Road Freight,7611.39,35936.53,10.0,16.3,1.42,Minor Storm,Extreme (Chokepoint Blocked),8.9
GLOBAL-EXP-10121,Singapore Port,1.3521,103.8198,Rotterdam Hub,51.9244,4.4777,Air Freight,10360.31,58001.22,2.3,0.0,10.29,Clear,Low,3.7
GLOBAL-EXP-10122,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Air Freight,2285.98,13673.8,2.1,0.0,2.23,Clear,Low,7.1
GLOBAL-EXP-10123,Ambarli Port (Istanbul),40.9681,28.6946,Frankfurt Logistics Hub,50.1109,8.6821,Air Freight,11416.87,68198.61,4.2,0.0,11.65,Minor Storm,Low,9.1
GLOBAL-EXP-10124,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Rail Freight,17083.71,47485.47,19.4,5.8,1.97,Heavy Snow,Low,2.6
GLOBAL-EXP-10125,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Sea Freight,14812.31,18379.78,31.8,8.8,0.74,Heavy Snow,Medium,5.7
GLOBAL-EXP-10126,Singapore Port,1.3521,103.8198,Hamburg Hub,53.5511,9.9937,Rail Freight,4462.33,13293.29,9.1,0.0,0.48,Minor Storm,Low,5.8
GLOBAL-EXP-10127,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Air Freight,8258.72,40545.66,3.0,10.8,7.51,Severe Typhoon,Low,1.3
GLOBAL-EXP-10128,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Sea Freight,8535.25,9054.89,24.6,0.0,0.45,Clear,Low,5.5
GLOBAL-EXP-10129,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Road Freight,17863.61,62218.27,20.4,19.1,3.36,Clear,High (Suez Crisis),6.1
GLOBAL-EXP-10130,Ambarli Port (Istanbul),40.9681,28.6946,Hamburg Hub,53.5511,9.9937,Road Freight,16058.08,56791.87,18.0,0.0,3.26,Clear,Low,8.8
GLOBAL-EXP-10131,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Rail Freight,3693.35,14154.25,8.4,19.6,0.47,Clear,High (Suez Crisis),5.2
GLOBAL-EXP-10132,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Air Freight,13896.13,65883.51,4.4,0.0,14.82,Clear,Low,5.6
GLOBAL-EXP-10133,Singapore Port,1.3521,103.8198,Hamburg Hub,53.5511,9.9937,Road Freight,10957.51,29043.94,12.6,0.0,1.81,Clear,Low,8.4
GLOBAL-EXP-10134,Ambarli Port (Istanbul),40.9681,28.6946,Hamburg Hub,53.5511,9.9937,Rail Freight,17407.87,41957.26,19.8,0.0,2.23,Minor Storm,Low,1.9
GLOBAL-EXP-10135,Ambarli Port (Istanbul),40.9681,28.6946,Port of Los Angeles,33.7423,-118.2705,Road Freight,4662.04,22042.49,8.7,10.6,0.87,Minor Storm,High (Suez Crisis),1.7
GLOBAL-EXP-10136,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Air Freight,13994.43,88702.64,4.3,17.4,12.66,Heavy Snow,High (Suez Crisis),5.4
GLOBAL-EXP-10137,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Air Freight,9496.63,56186.39,2.4,0.0,10.17,Clear,Low,5.7
GLOBAL-EXP-10138,Shanghai Port,31.2304,121.4737,Rotterdam Hub,51.9244,4.4777,Rail Freight,12887.99,35898.38,15.0,0.0,1.66,Clear,Low,2.4
GLOBAL-EXP-10139,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Sea Freight,17432.33,23221.01,38.4,6.6,0.84,Severe Typhoon,Medium,7.5
GLOBAL-EXP-10140,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Rail Freight,7896.42,23983.25,12.6,0.0,1.02,Clear,Low,2.7
